Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
Kalman,3e-09,0.2526897131726323,305.0,0.05406315126274771
Kalman,3e-09,0.2657256749265752,270.0,0.058075301792708846
Kalman,3e-09,0.2523751406248999,307.0,0.05377789623948006
Kalman,3e-09,0.2219878456263408,367.0,0.05114385941264297
Kalman,3e-09,0.2729270054351954,191.0,0.07992982845804651
Kalman,3e-09,0.251576835377384,218.0,0.07597340915121875
Kalman,3e-09,0.2676576603313074,270.0,0.05765610723164136
Kalman,3e-09,0.2761685066220948,269.0,0.05608701495976582
Kalman,3e-09,0.25159251914406416,216.0,0.0766720867632174
Kalman,3e-09,0.24519091313917382,1000.0,0.016993560704680798
Kalman,3e-09,0.2009213631301002,497.0,0.041725951952505766
Kalman,4e-09,0.3419048273728048,212.0,0.05748409053284328
Kalman,4e-09,0.34479017180670385,265.0,0.045602432220911295
Kalman,4e-09,0.32900656672749795,296.0,0.04278509306543903
Kalman,4e-09,0.36197255451003535,174.0,0.06615518180838435
Kalman,4e-09,0.3587820870572658,180.0,0.0645186841350121
Kalman,4e-09,0.2870665555736144,365.0,0.03976612702704022
Kalman,4e-09,0.2871598778846421,422.0,0.03438369512571439
Kalman,4e-09,0.33001574257304983,217.0,0.05818276646120296
Kalman,4e-09,0.31044248313743594,354.0,0.03791441397497608
Kalman,4e-09,0.28874520009846083,432.0,0.033403366445939664
Kalman,4e-09,0.3152445478064976,585.0,0.022593593361300693
Kalman,4e-09,0.33125911932547103,286.0,0.04397996528648126
Kalman,4e-09,0.32745382563696646,210.0,0.06059257302208763
Kalman,4e-09,0.34775734415920423,197.0,0.060819972810981865
Kalman,4e-09,0.2957552303446048,444.0,0.031730239811650976
Kalman,4e-09,0.35067219669352234,272.0,0.04368360992236987
Kalman,4e-09,0.3234385922052653,235.0,0.054818741118710795
Kalman,4e-09,0.35544056262265444,175.0,0.06698595015111053
Kalman,4e-09,0.3380755310231287,258.0,0.04777000793922803
Kalman,4e-09,0.3236684126679196,244.0,0.0527592500963656
Kalman,4e-09,0.36161500696375426,273.0,0.042206531721857087
Kalman,4e-09,0.32695437393161125,237.0,0.05377163730780716
Kalman,4e-09,0.3286826120392064,247.0,0.051323359370321765
Kalman,4e-09,0.331155049346688,206.0,0.061078752254365314
Kalman,4e-09,0.35714896421992,281.0,0.04151767676949204
Kalman,4e-09,0.27989835956617876,473.0,0.0314722117363629
Kalman,4e-09,0.35649633506048417,269.0,0.04344916241481593
Kalman,4e-09,0.3225192340612353,239.0,0.054054921078180114
Kalman,4e-09,0.33572677080675584,205.0,0.06054090712870705
Kalman,4e-09,0.32605167131538193,245.0,0.05215983912144454
Kalman,4e-09,0.3448949179047892,278.0,0.04345674237062458
Kalman,4e-09,0.3354636170599489,255.0,0.04870832021740747
Kalman,4e-09,0.3300129221293972,295.0,0.04279921432825784
Kalman,4e-09,0.35440965336472735,180.0,0.06531466603232193
Kalman,4e-09,0.38349756314233585,164.0,0.06624945373019483
Kalman,4e-09,0.34901252665058224,187.0,0.06384194900547585
Kalman,4e-09,0.3575869515500672,272.0,0.042838888232854234
Kalman,4e-09,0.3585197108713025,178.0,0.06529136053213368
Kalman,4e-09,0.2898029202503754,444.0,0.03238195245333187
Kalman,4e-09,0.32864573891509513,217.0,0.05842530909432794
Kalman,4e-09,0.31101316464062645,708.0,0.018922422198257613
Kalman,4e-09,0.305585314783172,328.0,0.04157023069493347
Kalman,4e-09,0.38043041611914225,163.0,0.06719329239997861
Kalman,4e-09,0.35016789169451096,269.0,0.044234401639093576
Kalman,4e-09,0.27624015539610236,1000.0,0.015083493783487268
Kalman,4e-09,0.3963666219088056,157.0,0.0669563900305936
Kalman,4e-09,0.36121247901937326,276.0,0.04179428794506911
Kalman,4e-09,0.3365627731943426,193.0,0.06414537845202091
Kalman,4e-09,0.3234687385431629,320.0,0.040253761126891295
Kalman,4e-09,0.3302527796199964,205.0,0.06154438208035557
Kalman,4e-09,0.33577654075516117,248.0,0.050036477328140906
Kalman,4e-09,0.3514850031672021,262.0,0.04524604960307646
Kalman,4e-09,0.3305628761190193,307.0,0.04105785950707719
Kalman,4e-09,0.309090728009936,326.0,0.04135092041214083
Kalman,4e-09,0.33882848557172873,189.0,0.06506494087115851
Kalman,4e-09,0.3544814158439123,270.0,0.04353429566594618
Kalman,4e-09,0.32470916757342,240.0,0.05346664906584626
Kalman,4e-09,0.3426654566785163,187.0,0.06502447064456532
Kalman,4e-09,0.3357892657413202,199.0,0.06235465390581054
Kalman,4e-09,0.2964626087734908,389.0,0.03613010560925564
Kalman,4e-09,0.31603920715048767,221.0,0.05965619106019982
Kalman,4e-09,0.29596970698593783,385.0,0.0365662788017188
Kalman,4e-09,0.37340897072326196,170.0,0.06563796224310087
Kalman,4e-09,0.35205454622695226,178.0,0.06649037756008522
Kalman,4e-09,0.2840017687226683,442.0,0.03319291884885135
Kalman,4e-09,0.29424806061245923,353.0,0.04011441321404795
Kalman,4e-09,0.31983850723354285,233.0,0.05591162149669346
Kalman,4e-09,0.32248853640447284,215.0,0.0600946786428825
Kalman,4e-09,0.330152050754794,196.0,0.0643900389313328
Kalman,4e-09,0.2694593011250399,504.0,0.03068068436561207
Kalman,4e-09,0.32765144838707294,209.0,0.060845768406855065
Kalman,4e-09,0.32104958317286736,228.0,0.05692221625258924
Kalman,4e-09,0.2936190948778527,422.0,0.03362730103650238
Kalman,4e-09,0.3333101197607252,289.0,0.04325560750726607
Kalman,4e-09,0.33108674234692786,212.0,0.05936235293203015
Kalman,4e-09,0.3560439223279515,184.0,0.06360150002890283
Kalman,4e-09,0.3222743493512073,304.0,0.04252941749310787
Kalman,4e-09,0.32778676182609434,218.0,0.058309706409788414
Kalman,4e-09,0.3501883573224119,183.0,0.06501835321923974
Kalman,4e-09,0.32308997059805544,239.0,0.05395943337734824
Kalman,4e-09,0.32567403570721265,211.0,0.060634970006632545
Kalman,4e-09,0.2587827773992901,949.0,0.016966301337715872
Kalman,4e-09,0.33539031049504925,216.0,0.057515446490738344
Kalman,4e-09,0.40700275315469836,634.0,0.016147383259085546
Kalman,4e-09,0.33300738925123513,315.0,0.03972138052928856
Kalman,4e-09,0.3514874364819878,270.0,0.04390512195795916
Kalman,4e-09,0.3329200667875036,242.0,0.05171701129383759
Kalman,4e-09,0.33703384440597767,298.0,0.04148575325697889
Kalman,4e-09,0.30486358929451857,1000.0,0.013667314867966697
Kalman,4e-09,0.33541873153682095,305.0,0.04072879926293763
Kalman,4e-09,0.35205286086665094,270.0,0.04383460690375529
Kalman,4e-09,0.33090112658882304,307.0,0.041015889748888174
Kalman,4e-09,0.29293887320620193,367.0,0.03875660148401465
Kalman,4e-09,0.35001513403149875,191.0,0.06232590138242508
Kalman,4e-09,0.3258396997825127,218.0,0.058658137298347006
Kalman,4e-09,0.3547054245278795,270.0,0.043506802259854226
Kalman,4e-09,0.361361675479108,269.0,0.042864166881540634
Kalman,4e-09,0.3272329286578063,216.0,0.058949212525497924
Kalman,4e-09,0.33686941990474595,1000.0,0.01236878867736004
Kalman,4e-09,0.26899198912893757,497.0,0.031166858059032923
Kalman,5e-09,0.418117014618062,212.0,0.047006190523645436
Kalman,5e-09,0.431275557476126,265.0,0.03645759693006011
Kalman,5e-09,0.4105123185413987,296.0,0.03429026594522767
Kalman,5e-09,0.4495571818373454,174.0,0.05326655010912661
Kalman,5e-09,0.4420135725033546,180.0,0.05236976778122004
Kalman,5e-09,0.39388366001941627,365.0,0.028981971766974365
Kalman,5e-09,0.36071295402948184,422.0,0.027372506540798962
Kalman,5e-09,0.4059083156147053,217.0,0.04730434962774783
Kalman,5e-09,0.38034850673997544,354.0,0.03094594723659316
Kalman,5e-09,0.36380686271970836,432.0,0.0265114892453967
Kalman,5e-09,0.4054403694935968,585.0,0.01756733581168367
Kalman,5e-09,0.41876523402206806,286.0,0.034789813922320084
Kalman,5e-09,0.40565182754472917,210.0,0.04891206816782317
Kalman,5e-09,0.42548800060866976,197.0,0.0497090216088954
Kalman,5e-09,0.37594500636940775,444.0,0.02496212005849383
Kalman,5e-09,0.44095652992535433,272.0,0.034739541000954326
Kalman,5e-09,0.3989645017111934,235.0,0.04444128832979643
Kalman,5e-09,0.4396363059365768,175.0,0.05415731932967027
Kalman,5e-09,0.4211166193328816,258.0,0.03835011505035745
Kalman,5e-09,0.40072229820498895,244.0,0.04261430623834408
Kalman,5e-09,0.45322474666080304,273.0,0.033675379323313624
Kalman,5e-09,0.40278305504862416,237.0,0.04364848965438576
Kalman,5e-09,0.4084255272022895,247.0,0.04130274601594412
Kalman,5e-09,0.40799237449057796,206.0,0.049575772689583894
Kalman,5e-09,0.4515888583556168,281.0,0.03283516628163749
Kalman,5e-09,0.35656285782312486,473.0,0.02470537871136646
Kalman,5e-09,0.44519873771244445,269.0,0.03479225310008476
Kalman,5e-09,0.39873132573545705,239.0,0.043723055145513695
Kalman,5e-09,0.4126987440299365,205.0,0.04924949141729921
Kalman,5e-09,0.403948449996474,245.0,0.04210141843900351
Kalman,5e-09,0.43300538212624745,278.0,0.03461391061406305
Kalman,5e-09,0.41814183738037686,255.0,0.03907733649283613
Kalman,5e-09,0.41423022054432196,295.0,0.034097690329668875
Kalman,5e-09,0.43713810968867567,180.0,0.05295385516635457
