Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
No Filter,2e-09,0.5659426311194568,101.0,0.07289453584887035
No Filter,2e-09,0.5531636275950995,95.0,0.07928874375469795
No Filter,2e-09,0.5795665491145437,201.0,0.035767566193149004
No Filter,2e-09,0.5724135264002901,161.0,0.045211924580145446
No Filter,2e-09,0.5647155212216848,125.0,0.05902677025986682
No Filter,2e-09,0.5536628530404569,132.0,0.05701241539379565
No Filter,2e-09,0.5738028012617123,131.0,0.055431266118156124
No Filter,2e-09,0.5702003875378141,128.0,0.05708884813968067
No Filter,2e-09,0.5620606151244695,428.0,0.017320556235835803
No Filter,2e-09,0.5785793456991077,153.0,0.04706893820328711
No Filter,2e-09,0.5722519635326839,121.0,0.060174999654714546
No Filter,2e-09,0.5791737734137221,168.0,0.04282235909164821
No Filter,2e-09,0.5712348589614921,114.0,0.06398367856749278
No Filter,2e-09,0.5696595182858706,118.0,0.06198568325432062
No Filter,2e-09,0.5601394709563354,451.0,0.016493622088710223
No Filter,2e-09,0.549578210721356,507.0,0.014953790541039961
No Filter,2e-09,0.560901329080407,126.0,0.05895650688330345
No Filter,2e-09,0.5747746259334005,157.0,0.046173364192158936
No Filter,2e-09,0.5811223821022752,165.0,0.04345474555836487
No Filter,2e-09,0.5586403036936956,128.0,0.05827020198525052
No Filter,2e-09,0.567638121993196,81.0,0.09062169580415105
No Filter,2e-09,0.563903881304769,149.0,0.049590376558236886
No Filter,2e-09,0.5795523640953629,193.0,0.0372510713386727
No Filter,2e-09,0.5521237817048297,136.0,0.0554898302104649
No Filter,2e-09,0.5462729910913917,90.0,0.08474937815212415
No Filter,2e-09,0.5697263251834108,103.0,0.07100439745457432
No Filter,2e-09,0.5665418858931269,183.0,0.0401888560697682
No Filter,2e-09,0.5574815148879807,127.0,0.05885109743364978
No Filter,2e-09,0.5873606142520147,237.0,0.02993198996436022
No Filter,2e-09,0.5721589047651306,201.0,0.03623064280944618
No Filter,2e-09,0.5697959064684244,210.0,0.03482171355748298
No Filter,2e-09,0.5665599107489527,128.0,0.05745567717684392
No Filter,2e-09,0.5824363743409826,108.0,0.06623941878155049
No Filter,2e-09,0.576064032340491,104.0,0.0695480021575485
No Filter,2e-09,0.5911139803080226,291.0,0.024222810879946582
No Filter,2e-09,0.5533961316782087,99.0,0.07605319169815836
No Filter,2e-09,0.5869640840424805,971.0,0.007310683803626352
No Filter,2e-09,0.5862892073066105,180.0,0.03948247359778261
No Filter,2e-09,0.5814624693580457,115.0,0.06231164686857991
No Filter,2e-09,0.5812283566402823,111.0,0.06458311455159994
No Filter,2e-09,0.576836283494469,106.0,0.0681444236872555
No Filter,2e-09,0.5623905214328215,155.0,0.04779902826530584
No Filter,2e-09,0.5914427446558683,109.0,0.06463229118894953
No Filter,2e-09,0.5532183711753573,85.0,0.08860806219972615
No Filter,2e-09,0.5539165520190877,97.0,0.07754837132760185
No Filter,2e-09,0.5738322050395136,169.0,0.042965229435741284
No Filter,2e-09,0.5732040772097423,201.0,0.036164580352773985
No Filter,2e-09,0.5675516548893789,138.0,0.053199099068543455
No Filter,2e-09,0.562034623470891,131.0,0.05659191524475317
No Filter,2e-09,0.5586769262734296,135.0,0.055245162417462246
No Filter,2e-09,0.5859607633807273,108.0,0.06584100732443202
No Filter,2e-09,0.5892562119234213,579.0,0.012212540726522114
No Filter,2e-09,0.5728774827911866,233.0,0.031215556717958014
No Filter,2e-09,0.7888827064432032,447.0,0.011815954213115598
No Filter,2e-09,0.5620717663240618,114.0,0.06502676311491956
No Filter,2e-09,0.5658263557218874,113.0,0.06516691202045496
No Filter,2e-09,0.5724308112525465,80.0,0.09098625075643435
No Filter,2e-09,0.5571345433106968,98.0,0.07631371508589205
No Filter,2e-09,0.5606962898248309,152.0,0.04888971302149753
No Filter,2e-09,0.5730787694628043,256.0,0.028401055027607442
No Filter,2e-09,0.5765080269712647,199.0,0.036318702378848045
No Filter,2e-09,0.5624234978111259,334.0,0.0221808831756688
No Filter,2e-09,0.5722354173635822,168.0,0.04334158031646104
No Filter,2e-09,0.5648127706126143,129.0,0.05718663472682077
No Filter,2e-09,0.577258450556707,119.0,0.060655683028067335
No Filter,2e-09,0.5646422902043026,131.0,0.056330558882815775
No Filter,2e-09,0.5617201414464672,147.0,0.05046048576578476
No Filter,2e-09,0.5615236595897791,146.0,0.050823883015431885
No Filter,2e-09,0.567623970986418,100.0,0.0734054035707094
No Filter,3e-09,0.8749143875209195,112.0,0.042521167194191814
No Filter,3e-09,0.8647838538126822,105.0,0.045887234720660246
No Filter,3e-09,0.8531181624899344,179.0,0.027285162167462663
No Filter,3e-09,0.8494987105797004,118.0,0.041566554514462645
No Filter,3e-09,0.8320162837239541,88.0,0.05690812280327208
No Filter,3e-09,0.893841429259222,209.0,0.022303960740836043
No Filter,3e-09,0.8360415334256265,99.0,0.0503414488453595
No Filter,3e-09,0.8565227288049161,122.0,0.03987402122081883
No Filter,3e-09,0.8515492394065386,113.0,0.0433012615546231
No Filter,3e-09,0.8536877302706554,175.0,0.027890202664591628
No Filter,3e-09,0.8587918041510609,173.0,0.02804495606923845
No Filter,3e-09,0.8751184248026883,120.0,0.03967716966998037
No Filter,3e-09,0.866005392148033,121.0,0.03976333406259287
No Filter,3e-09,0.8425667455582921,127.0,0.03893863497827949
No Filter,3e-09,0.8476416536779432,101.0,0.04866929938322207
No Filter,3e-09,0.8858755981207715,119.0,0.0395247432895961
No Filter,3e-09,0.8684261919456946,168.0,0.028559234545908568
No Filter,3e-09,0.8236939104868989,490.0,0.010323496692500397
No Filter,3e-09,0.8590681796069786,121.0,0.04008443395464027
No Filter,3e-09,0.8479858550390608,539.0,0.009116148373566836
No Filter,3e-09,0.8804687261825459,110.0,0.04302116219734367
No Filter,3e-09,0.8281662747017653,98.0,0.051338732452045434
No Filter,3e-09,0.8580182974318008,101.0,0.04808070589639182
No Filter,3e-09,0.8703829391135778,111.0,0.04312761182539585
No Filter,3e-09,0.8902858874264705,141.0,0.033192514719726444
No Filter,3e-09,0.8951536156569381,286.0,0.016275155810070427
No Filter,3e-09,0.8571846143382631,118.0,0.04119385004423618
No Filter,3e-09,0.8212627159751791,396.0,0.012811838790698887
No Filter,3e-09,0.8794095026720674,556.0,0.008521632724450546
No Filter,3e-09,0.8483722277293239,139.0,0.035333569634738486
No Filter,3e-09,0.8597029631447431,152.0,0.03188575807797831
No Filter,3e-09,0.8497625274996267,101.0,0.048547828455002544
No Filter,3e-09,0.8290707418927161,95.0,0.05290217939988837
No Filter,3e-09,0.8691756772544004,201.0,0.023849821677329318
No Filter,3e-09,0.8593788227727044,161.0,0.03011467876386098
No Filter,3e-09,0.8469947555216456,125.0,0.03935482848746101
No Filter,3e-09,0.8307208630533598,132.0,0.037997909971389514
No Filter,3e-09,0.8610577958128803,131.0,0.036939002156126395
No Filter,3e-09,0.8555539432899154,128.0,0.03804796131049173
